iso_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,,,39.418,44.636,49.618,54.951,59.149,64.513,75.192,73.167,79.088,87.264,94.641,96.764,99.809,102.469,100,102.404,104.525,111.341,117.25
ALB,128.076,132.957,137.806,144.97,149.54,154.485,158.314,165.258,172.062,176.223,184.141,188.404,190.368,190.917,193.876,194.97,193.737,196.548,199.22,199.944,202.77
DZA,100.476,100,101.321,109.761,123.204,143.072,158.185,168.346,194.196,172.466,200.237,236.743,254.392,254.155,253.391,237.033,240.704,256.087,274.179,271.684,258.951
AGO,19.958,41.184,100,193.927,258.776,368.434,431.502,450.093,537.276,447.224,588.945,776.062,832.371,856.008,886.489,855.299,"1,041.53","1,277.11","1,722.23","2,115.12","2,432.86"
ATG,92.678,94.054,94.713,93.801,95.341,99.593,100,103.739,108.283,110.219,111.892,113.029,115.329,114.237,116.421,119.936,122.18,121.044,123.768,123.978,125.323
ARG,66.206,65.48,85.488,94.358,100,110.318,125.476,144.222,177.64,204.957,247.824,306.567,374.977,464.78,652.007,825.311,"1,164.67","1,467.56","2,054.77","3,094.94","4,395.29"
ARM,83.089,86.54,87.341,91.315,97.073,100,104.62,109.048,115.528,118.482,127.687,133.154,140.358,144.927,148.264,149.985,150.396,153.605,157.849,160.185,163.141
ABW,100,104.327,111.573,113.998,116.533,120.499,124.792,132.597,140.572,142.411,141.551,147.028,147.787,147.989,150.051,160.018,160.363,162.407,166.178,172.723,170.411
AUS,59.327,61.391,63.211,65.235,67.486,70.602,74.184,77.43,82.338,82.672,87.103,91.224,90.803,92.008,92.364,91.736,92.647,96.008,98.172,101.428,102.292
AUT,76.158,77.641,78.531,79.558,80.942,82.996,84.566,86.445,88.136,89.801,90.585,92.246,94.141,95.669,97.751,100,101.848,102.725,104.485,106.289,107.487
AZE,67.649,71.574,74.591,79.783,87.165,99.998,111.327,134.241,171.79,139.323,158.588,197.612,203.234,204.074,201.359,183.62,210.481,244.634,274.441,273.811,253.691
BHS,83.836,84.132,87.464,88.474,89.531,94.059,94.837,97.633,99.086,98.059,97.674,96.836,100,101.295,105.39,110.818,111.271,112.995,114.342,117.796,116.571
BHR,59.405,58.764,59.366,64.473,71.56,81.388,88.586,96.057,106.978,93.076,100,109.737,113.045,113.48,111.583,101.256,101.506,107.108,111.768,111.974,104.301
BGD,79.221,80.477,83.049,86.809,90.49,95.082,100,106.471,114.841,122.609,131.369,141.694,153.263,164.259,173.571,183.764,196.128,208.442,220.109,229.924,241.764
BRB,72.206,73.842,74.507,75.346,79.734,85.05,88.872,96.37,97.974,96.326,100,103.517,102.922,105.916,106.483,104.353,104.306,106.994,109.968,112.726,114.642
BLR,1.72,3.085,4.469,5.841,7.165,8.521,9.436,10.648,12.899,13.638,15.176,25.979,45.562,55.27,65.302,75.765,82.093,89.165,100,108.577,119.544
BEL,77.781,79.323,80.624,82.116,83.688,85.431,87.366,89.054,90.753,91.238,92.964,94.644,96.5,97.727,98.687,100,101.921,103.784,105.471,107.217,108.17
BLZ,100,99.691,101.403,98.608,100.593,103.427,108.348,113.275,116.319,113.144,114.837,119.514,121.655,124.55,126.524,127.531,131.216,133.27,133.015,133.264,133.423
BEN,67.989,69.329,71.793,73.991,74.56,77.762,79.39,79.7,84.828,86.982,87.749,91.024,98.032,99.402,99.156,100,100.684,100.313,100.905,100.584,102.123
BTN,99.211,102.764,107.994,112.13,115.933,121.585,129.906,135.134,139.505,146.665,154.521,165.651,180.241,193.518,206.054,216.722,225.509,236.082,243.873,247.176,257.306
BOL,232.277,236.621,243.295,258.696,279.308,295.901,336.332,361.131,398.621,388.975,423.117,484.902,519.331,550.467,561.749,535.793,528.534,560.57,577.703,573.699,594.217
BIH,64.482,67.542,70.932,71.936,73.731,76.038,81.266,86.431,93.396,93.395,94.803,97.149,97.779,97.539,98.456,99.989,101.393,103.127,105.961,108.749,108.329
BWA,64.682,70.06,70.891,73.201,80.58,93.047,100,104.924,109.89,116.992,127.427,145.214,145.495,148.855,166.574,169.681,189.964,194.928,197.202,198.352,199.732
BRA,152.729,165.291,181.487,207.06,223.111,239.691,255.929,272.408,296.321,317.993,344.778,373.459,403.124,433.376,467.382,502.745,543.486,563.439,588.757,613.959,643.462
BRN,65.859,62.176,62.409,66.219,76.738,91.14,100.203,104.909,121.716,95.256,100,120.181,121.647,118.213,116.03,95.607,86.829,91.13,99.53,96.212,85.774
BGR,53.181,56.438,58.565,59.896,63.28,67.391,71.945,79.919,86.417,89.916,90.947,96.351,97.822,97.168,97.616,100,102.538,106.58,110.857,116.677,119.033
