iso_code,year,value
ABW,1995,1.79
ABW,1996,1.79
ABW,1997,1.79
ABW,1998,1.79
ABW,1999,1.79
ABW,2000,1.79
ABW,2001,1.79
ABW,2002,1.79
ABW,2003,1.79
ABW,2004,1.79
ABW,2005,1.79
ABW,2006,1.79
ABW,2007,1.79
ABW,2008,1.79
ABW,2009,1.79
ABW,2010,1.79
ABW,2011,1.79
ABW,2012,1.79
ABW,2013,1.79
ABW,2014,1.79
ABW,2015,1.79
ABW,2016,1.79
ABW,2017,1.79
ABW,2018,1.79
ABW,2019,1.79
AFG,1995,36.5671446236559
AFG,1996,47.5
AFG,1997,47.5
AFG,1998,47.5
AFG,1999,46.6195310771889
AFG,2000,47.3575747311828
AFG,2001,47.500014516129
AFG,2002,47.263
AFG,2003,48.7627535833333
AFG,2004,47.8453125
AFG,2005,49.4945975
AFG,2006,49.9253308333333
AFG,2007,49.9620177703972
AFG,2008,50.2496147435897
AFG,2009,50.325
AFG,2010,46.4524610013175
AFG,2011,46.747007738581
AFG,2012,50.9214
AFG,2013,55.3775
AFG,2014,57.2475
AFG,2015,61.1434615416667
AFG,2016,67.8660857692308
AFG,2017,68.0269040822312
AFG,2018,72.083247177304
AFG,2019,77.7379491783367
AGO,1995,0.00275022958333333
AGO,1996,0.128029166666667
AGO,1997,0.229040083333333
AGO,1998,0.3928235175
AGO,1999,2.79070616666667
AGO,2000,10.0405441666667
AGO,2001,22.0578616666667
AGO,2002,43.5302066666667
AGO,2003,74.6063008333333
AGO,2004,83.5413625
AGO,2005,87.1591416666667
AGO,2006,80.3680720555556
AGO,2007,76.70614275
AGO,2008,75.0333541666667
AGO,2009,79.3281666666667
AGO,2010,91.9057203405018
AGO,2011,93.93475
AGO,2012,95.467955421311
AGO,2013,96.5182794791526
AGO,2014,98.3024168556335
AGO,2015,120.060701665019
AGO,2016,163.656434116579
AGO,2017,165.915950691498
AGO,2018,252.855747731297
AGO,2019,364.825804980887
ALB,1995,92.6975
ALB,1996,104.498916666667
ALB,1997,148.932916666667
ALB,1998,150.633333333333
ALB,1999,137.690583333333
ALB,2000,143.709416666667
ALB,2001,143.484833333333
ALB,2002,140.154515875
ALB,2003,121.86325
ALB,2004,102.780051196172
ALB,2005,99.8702544808992
ALB,2006,98.1033770912698
ALB,2007,90.4278938310708
ALB,2008,83.8946041005291
ALB,2009,94.9781198203843
ALB,2010,103.936666666667
ALB,2011,100.895833333333
ALB,2012,108.184166666667
ALB,2013,105.669166666667
ALB,2014,105.48
ALB,2015,125.961666666667
ALB,2016,124.1425
ALB,2017,119.1
ALB,2018,107.989166666667
ALB,2019,109.850833333333
ARE,1995,3.671
ARE,1996,3.671
ARE,1997,3.671125
ARE,1998,3.6725
ARE,1999,3.6725
ARE,2000,3.6725
ARE,2001,3.6725
ARE,2002,3.6725
ARE,2003,3.6725
ARE,2004,3.6725
ARE,2005,3.6725
ARE,2006,3.6725
ARE,2007,3.6725
ARE,2008,3.6725
ARE,2009,3.6725
ARE,2010,3.6725
ARE,2011,3.6725
ARE,2012,3.6725
ARE,2013,3.6725
ARE,2014,3.6725
ARE,2015,3.6725
ARE,2016,3.6725
ARE,2017,3.6725
ARE,2018,3.6725
ARE,2019,3.6725
ARG,1995,0.99975
ARG,1996,0.9996625
ARG,1997,0.9995
ARG,1998,0.9995
ARG,1999,0.9995
ARG,2000,0.9995
ARG,2001,0.9995
ARG,2002,3.06325666666667
ARG,2003,2.90062916666667
ARG,2004,2.92330081890332
ARG,2005,2.9036575
ARG,2006,3.05431333333333
ARG,2007,3.09564884920635
ARG,2008,3.14416455988456
ARG,2009,3.71010683052328
ARG,2010,3.8962951544705
ARG,2011,4.11013957621326
ARG,2012,4.53693436018746
ARG,2013,5.45935266465704
ARG,2014,8.07527599281334
ARG,2015,9.23318552472429
ARG,2016,14.7581750873396
ARG,2017,16.5627069251411
ARG,2018,28.0949916666667
ARG,2019,48.1478916666667
ARM,1995,405.908333333333
ARM,1996,414.0415
ARM,1997,490.84678575
ARM,1998,504.915
ARM,1999,535.061833333333
ARM,2000,539.525833333333
ARM,2001,555.078258333333
ARM,2002,573.353333333333
ARM,2003,578.762954545455
ARM,2004,533.450833333333
ARM,2005,457.686940629159
ARM,2006,416.040369724542
ARM,2007,342.079116208671
ARM,2008,305.969400261936
ARM,2009,363.283285606061
ARM,2010,373.660466738817
ARM,2011,372.500882448711
ARM,2012,401.763975626916
ARM,2013,409.625749270293
ARM,2014,415.919789204938
ARM,2015,477.918306576099
ARM,2016,480.488150777966
ARM,2017,482.716393849129
ARM,2018,482.987946590235
ARM,2019,480.445128767119
ATG,1995,2.7
ATG,1996,2.7
ATG,1997,2.7
ATG,1998,2.7
ATG,1999,2.7
ATG,2000,2.7
ATG,2001,2.7
ATG,2002,2.7
ATG,2003,2.7
ATG,2004,2.7
ATG,2005,2.7
ATG,2006,2.7
ATG,2007,2.7
ATG,2008,2.7
ATG,2009,2.7
ATG,2010,2.7
ATG,2011,2.7
ATG,2012,2.7
ATG,2013,2.7
ATG,2014,2.7
ATG,2015,2.7
ATG,2016,2.7
ATG,2017,2.7
ATG,2018,2.7
ATG,2019,2.7
AUS,1995,1.3490325
AUS,1996,1.27786333333333
AUS,1997,1.34738
AUS,1998,1.59182833333333
AUS,1999,1.54995
AUS,2000,1.72482666666667
AUS,2001,1.9334425
AUS,2002,1.8405625
AUS,2003,1.54191416666667
AUS,2004,1.3597525
AUS,2005,1.30947333333333
AUS,2006,1.3279734405
AUS,2007,1.1950725
AUS,2008,1.19217833333333
AUS,2009,1.28218881008452
AUS,2010,1.09015948638677
AUS,2011,0.969463201496735
AUS,2012,0.965801030658708
AUS,2013,1.03584309652054
AUS,2014,1.10936329281692
AUS,2015,1.33109026245502
AUS,2016,1.34521397601947
AUS,2017,1.30475807671592
AUS,2018,1.33841214646451
AUS,2019,1.43850654421382
AUT,1995,10.0814958333333
AUT,1996,10.5865575
AUT,1997,12.2042441666667
AUT,1998,12.379065
AZE,1995,0.8827085
AZE,1996,0.860252833333333
AZE,1997,0.797075
AZE,1998,0.773799686666667
AZE,1999,0.824033333333333
AZE,2000,0.89483075
AZE,2001,0.931316666666667
AZE,2002,0.972164166666667
AZE,2003,0.982146
AZE,2004,0.9826955
AZE,2005,0.945421
AZE,2006,0.893445
AZE,2007,0.858123808243728
AZE,2008,0.821619578853046
AZE,2009,0.803783333333333
AZE,2010,0.80265
AZE,2011,0.789686388888889
AZE,2012,0.785645349462366
AZE,2013,0.784541075268817
AZE,2014,0.7843475
AZE,2015,1.02456381855059
AZE,2016,1.59572157270424
AZE,2017,1.72115480222734
AZE,2018,1.70001666666667
AZE,2019,1.7
BDI,1995,249.7575
BDI,1996,302.746666666667
BDI,1997,352.350833333333
BDI,1998,447.765833333333
BDI,1999,563.5625
BDI,2000,720.673333333333
BDI,2001,830.353333333333
BDI,2002,930.749166666667
BDI,2003,1082.62
BDI,2004,1100.9
BDI,2005,1081.57716666667
BDI,2006,1028.683553
BDI,2007,1081.8696825
