iso_code,year,value
ABW,1995,2145066984.42771
ABW,1996,2170502935.00301
ABW,1997,2323455541.5216
ABW,1998,2369738447.19726
ABW,1999,2399076806.9702
ABW,2000,2581804607.81403
ABW,2001,2505092564.79457
ABW,2002,2423084691.96376
ABW,2003,2470953875.24177
ABW,2004,2666444959.29254
ABW,2005,2698824916.29108
ABW,2006,2727178974.02819
ABW,2007,2776274358.20761
ABW,2008,2773756053.97674
ABW,2009,2481963892.1005
ABW,2010,2390502793.29609
ABW,2011,2472880828.36298
ABW,2012,2439005748.52239
ABW,2013,2541400876.22235
ABW,2014,2549025078.85102
ABW,2015,2694319530.67228
ABW,2016,2750900229.65302
ABW,2017,2805918209.60966
ABW,2018,
ABW,2019,
AFG,1995,
AFG,1996,
AFG,1997,
AFG,1998,
AFG,1999,
AFG,2000,
AFG,2001,
AFG,2002,7465114629.45783
AFG,2003,8124454291.89637
AFG,2004,8239343660.83276
AFG,2005,9164598458.53792
AFG,2006,9655582953.98018
AFG,2007,10990594706.5564
AFG,2008,11421973770.8233
AFG,2009,13865194314.7185
AFG,2010,15856574731.441
AFG,2011,15924179997.7914
AFG,2012,17954877146.6564
AFG,2013,18960483969.8941
AFG,2014,19477070577.8584
AFG,2015,19759744157.4377
AFG,2016,20206376461.4103
AFG,2017,20741239893.4132
AFG,2018,20987900552.5239
AFG,2019,21808863988.0303
AGO,1995,26925396904.5545
AGO,1996,30572272219.3363
AGO,1997,32796184094.1753
AGO,1998,34334701120.3514
AGO,1999,35083709095.1369
AGO,2000,36155384575.451
AGO,2001,37676079528.6812
AGO,2002,42824774451.2357
AGO,2003,44105170974.6178
AGO,2004,48935949384.3211
AGO,2005,56290491777.1201
AGO,2006,62790739426.972
AGO,2007,71587733475.3748
AGO,2008,79581318822.8055
AGO,2009,80264693646.7985
AGO,2010,83799496611.2004
AGO,2011,86708995310.3851
AGO,2012,94115840392.858
AGO,2013,98778851724.4208
AGO,2014,103542587859.422
AGO,2015,104519586272.323
AGO,2016,101822929058.742
AGO,2017,101673032530.175
AGO,2018,99635881425.7512
AGO,2019,99013511554.0281
ALB,1995,5429694612.20147
ALB,1996,5923796791.7011
ALB,1997,5276919124.81347
ALB,1998,5742875711.85154
ALB,1999,6483126460.62459
ALB,2000,6933706092.26578
ALB,2001,7508515182.79876
ALB,2002,7849398816.77983
ALB,2003,8283474557.11024
ALB,2004,8739893896.95844
ALB,2005,9223202583.88038
ALB,2006,9767379279.88863
ALB,2007,10351466806.2388
ALB,2008,11127823665.7504
ALB,2009,11500613161.6647
ALB,2010,11926928505.5231
ALB,2011,12230507222.1843
ALB,2012,12403877841.0321
ALB,2013,12528163103.1195
ALB,2014,12750473701.7819
ALB,2015,13033375121.5884
ALB,2016,13465406059.6498
ALB,2017,13977387390.5945
ALB,2018,14546448944.4056
ALB,2019,14872299622.2198
AND,1995,2080045751.05274
AND,1996,2176762473.45181
AND,1997,2374144159.09756
AND,1998,2449993086.30684
AND,1999,2550420283.40651
AND,2000,2640408325.59989
AND,2001,2854792522.86889
AND,2002,2984581731.4066
AND,2003,3244067347.20933
AND,2004,3507994166.77714
AND,2005,3697348535.06562
AND,2006,3875142516.24022
AND,2007,3935330770.25056
AND,2008,3716558398.51518
AND,2009,3519475009.94299
AND,2010,3449966856.68832
AND,2011,3449688452.87021
AND,2012,3278085642.31738
AND,2013,3161792390.29564
AND,2014,3240978390.56079
AND,2015,3287458570.8604
AND,2016,3409412700.51704
AND,2017,3421211719.47501
AND,2018,3475566750.62972
AND,2019,3539838260.639
ARB,1995,1107966189960.98
ARB,1996,1158846918686.53
ARB,1997,1207808061484.67
ARB,1998,1271408802255.49
ARB,1999,1294305266564.4
ARB,2000,1365443237250.92
ARB,2001,1386795220016.67
ARB,2002,1394699488511.29
ARB,2003,1468878987981.49
ARB,2004,1606570604848.11
ARB,2005,1698906681561.49
ARB,2006,1809364339876.41
ARB,2007,1891216470698.04
ARB,2008,2001118819983.46
ARB,2009,2009522983752.78
ARB,2010,2103331412247.86
ARB,2011,2182183214838.19
ARB,2012,2327565114941.74
ARB,2013,2404078491899.84
ARB,2014,2464302496686.38
ARB,2015,2544227517990.95
ARB,2016,2633456825207.35
ARB,2017,2655073463824.27
ARB,2018,2710284893596.95
ARB,2019,2750603986533.94
ARE,1995,151381727243.022
ARE,1996,160159451463.581
ARE,1997,173277148999.319
ARE,1998,173783108481.96
ARE,1999,178826665568.414
ARE,2000,198234194635.807
ARE,2001,201007659577.944
ARE,2002,205899094159.292
ARE,2003,224019327978.216
ARE,2004,245449995044.248
