iso_code,year,value
ABW,1995,2363650000.0
ABW,1996,2470130000.0
ABW,1997,2742180000.0
ABW,1998,2980530000.0
ABW,1999,3083810000.0
ABW,2000,3353480000.0
ABW,2001,3437000000.0
ABW,2002,3475000000.0
ABW,2003,3618000000.0
ABW,2004,3989000000.0
ABW,2005,4172000000.0
ABW,2006,4340000000.0
ABW,2007,4681000000.0
ABW,2008,4914000000.0
ABW,2009,4473000000.0
ABW,2010,4279000000.0
ABW,2011,4564000000.0
ABW,2012,4537000000.0
ABW,2013,4836000000.0
ABW,2014,4950000000.0
ABW,2015,5226000000.0
ABW,2016,5309000000.0
ABW,2017,5471000000.0
ABW,2018,
ABW,2019,
AFG,1995,
AFG,1996,
AFG,1997,
AFG,1998,
AFG,1999,
AFG,2000,
AFG,2001,
AFG,2002,182162721300.0
AFG,2003,221358563000.0
AFG,2004,249791940700.0
AFG,2005,308163225800.0
AFG,2006,348048404600.0
AFG,2007,485419056200.0
AFG,2008,515046858600.0
AFG,2009,611692107000.0
AFG,2010,726231122700.0
AFG,2011,850347275400.0
AFG,2012,1028794220100.0
AFG,2013,1138809791300.0
AFG,2014,1176469485800.0
AFG,2015,1222756495400.0
AFG,2016,1222916881118.13
AFG,2017,1285460326468.55
AFG,2018,1327690394725.78
AFG,2019,1469596303316.48
AGO,1995,15015300.0
AGO,1996,835493000.0
AGO,1997,1751785000.0
AGO,1998,2555800000.0
AGO,1999,17171000000.0
AGO,2000,91666100000.0
AGO,2001,197110800000.0
AGO,2002,665385000000.0
AGO,2003,1328940035000.0
AGO,2004,1967571431000.0
AGO,2005,3222352000000.0
AGO,2006,4209762000000.0
AGO,2007,5006335000000.0
AGO,2008,6643353030000.0
AGO,2009,5577340741700.0
AGO,2010,7701651395700.0
AGO,2011,10500941840100.0
AGO,2012,12224949831600.0
AGO,2013,13195003553700.0
AGO,2014,14323859000000.0
AGO,2015,13950290849400.0
AGO,2016,16549565423600.0
AGO,2017,20262296106300.0
AGO,2018,25627742117300.0
AGO,2019,32402258000000.0
ALB,1995,221803320000.0
ALB,1996,334359130000.0
ALB,1997,331324240000.0
ALB,1998,384848410000.0
ALB,1999,443593640000.0
ALB,2000,501198990000.0
ALB,2001,563448810000.0
ALB,2002,610494270000.0
ALB,2003,677737520000.0
ALB,2004,737655550000.0
ALB,2005,804163210000.0
ALB,2006,872735100000.0
ALB,2007,965527760000.0
ALB,2008,1080676050000.0
ALB,2009,1143937450000.0
ALB,2010,1239645590000.0
ALB,2011,1300624080000.0
ALB,2012,1332810980000.0
ALB,2013,1350052650000.0
ALB,2014,1395304630000.0
ALB,2015,1434306520000.0
ALB,2016,1472479120000.0
ALB,2017,1550645490000.0
ALB,2018,1635714630000.0
ALB,2019,1678430507746.23
AND,1995,883347000.0
AND,1996,931789600.0
AND,1997,1038925600.0
AND,1998,1088194100.0
AND,1999,1163747900.0
AND,2000,1551090000.0
AND,2001,1728690000.0
AND,2002,1865830000.0
AND,2003,2092490000.0
AND,2004,2331570000.0
AND,2005,2540880000.0
AND,2006,2755130000.0
AND,2007,2887770000.0
AND,2008,2789260000.0
AND,2009,2644840000.0
AND,2010,2602310000.0
AND,2011,2607220000.0
AND,2012,2481850000.0
AND,2013,2404540000.0
AND,2014,2462690000.0
AND,2015,2514510000.0
AND,2016,2616860000.0
AND,2017,2655760000.0
AND,2018,2725270000.0
AND,2019,2817520000.0
ARB,1995,
ARB,1996,
ARB,1997,
ARB,1998,
ARB,1999,
ARB,2000,
ARB,2001,
ARB,2002,
ARB,2003,
ARB,2004,
ARB,2005,
ARB,2006,
ARB,2007,
ARB,2008,
ARB,2009,
ARB,2010,
ARB,2011,
ARB,2012,
ARB,2013,
ARB,2014,
ARB,2015,
ARB,2016,
ARB,2017,
ARB,2018,
ARB,2019,
ARE,1995,241345000000.0
ARE,1996,270080000000.0
ARE,1997,289418000000.0
ARE,1998,277914000000.0
ARE,1999,310126000000.0
ARE,2000,383179000000.0
ARE,2001,379412000000.0
ARE,2002,403300000000.0
ARE,2003,456662000000.0
ARE,2004,542885000000.0
ARE,2005,663317651100.0
ARE,2006,815723000000.0
ARE,2007,947197000000.0
ARE,2008,1158580526300.0
ARE,2009,931152675000.0
ARE,2010,1064244000000.0
ARE,2011,1287821000000.0
ARE,2012,1375684000000.0
ARE,2013,1432670000000.0
ARE,2014,1480521000000.0
ARE,2015,1315251000000.0
ARE,2016,1311248000000.0
ARE,2017,1416136223924.55
ARE,2018,1550584747565.8
ARE,2019,1546644979001.02
ARG,1995,258031750000.0
ARG,1996,272149750000.0
ARG,1997,292859000000.0
ARG,1998,298948250000.0
ARG,1999,283523000000.0
ARG,2000,284203750000.0
ARG,2001,268696750000.0
ARG,2002,312580000000.0
ARG,2003,375909500000.0
ARG,2004,485115194700.0
ARG,2005,582538172900.0
ARG,2006,715904271700.0
ARG,2007,896980174100.0
ARG,2008,1149646090600.0
ARG,2009,1247929268900.0
ARG,2010,1661720925900.0
ARG,2011,2179024103600.0
ARG,2012,2637913848200.0
ARG,2013,3348308488200.0
ARG,2014,4579086425400.0
ARG,2015,5954510895700.0
ARG,2016,8228159556500.0
ARG,2017,10660228494808.5
ARG,2018,14542722148095.3
ARG,2019,21447249859798.7
ARM,1995,522255990800.0
ARM,1996,661209022500.0
ARM,1997,804334993400.0
ARM,1998,955384987600.0
ARM,1999,987443691500.0
ARM,2000,1031338300000.0
ARM,2001,1175876800000.0
ARM,2002,1362471700000.0
ARM,2003,1624642700000.0
ARM,2004,1907945400000.0
ARM,2005,2242880900000.0
ARM,2006,2656189800000.0
ARM,2007,3149283400000.0
ARM,2008,3568227600000.0
ARM,2009,3141651000000.0
ARM,2010,3460202700000.0
ARM,2011,3777945600000.0
ARM,2012,4266460500000.0
ARM,2013,4555638200000.0
ARM,2014,4828626300000.0
ARM,2015,5043633200000.0
ARM,2016,5067293500000.0
ARM,2017,5564493300000.0
ARM,2018,6017035200000.0
ARM,2019,6569030800000.0
ASM,1995,
ASM,1996,
ASM,1997,
ASM,1998,
ASM,1999,
ASM,2000,
ASM,2001,
ASM,2002,514000000.0
ASM,2003,527000000.0
ASM,2004,512000000.0
ASM,2005,503000000.0
ASM,2006,496000000.0
ASM,2007,520000000.0
ASM,2008,563000000.0
ASM,2009,678000000.0
ASM,2010,576000000.0
ASM,2011,574000000.0
ASM,2012,644000000.0
ASM,2013,641000000.0
ASM,2014,642000000.0
ASM,2015,661000000.0
ASM,2016,652000000.0
ASM,2017,602000000.0
ASM,2018,636000000.0
ASM,2019,
ATG,1995,1558660000.0
ATG,1996,1711070000.0
ATG,1997,1837670000.0
ATG,1998,1965220000.0
ATG,1999,2068740000.0
ATG,2000,2231200000.0
ATG,2001,2161300000.0
ATG,2002,2198830000.0
ATG,2003,2312270000.0
ATG,2004,2483270000.0
ATG,2005,2762000000.0
ATG,2006,3125690000.0
ATG,2007,3544450000.0
ATG,2008,3699190000.0
ATG,2009,3316490000.0
ATG,2010,3101490000.0
ATG,2011,3071620000.0
ATG,2012,3239860000.0
ATG,2013,3189910000.0
ATG,2014,3374280000.0
ATG,2015,3609070000.0
ATG,2016,3878780000.0
ATG,2017,3963540000.0
ATG,2018,4334450000.0
ATG,2019,4487300000.0
AUS,1995,494567000000.0
AUS,1996,527599000000.0
AUS,1997,555291000000.0
AUS,1998,588097000000.0
AUS,1999,620141000000.0
AUS,2000,661159000000.0
AUS,2001,705066000000.0
AUS,2002,754253000000.0
AUS,2003,800960000000.0
AUS,2004,861039000000.0
AUS,2005,922371000000.0
AUS,2006,996430000000.0
AUS,2007,1086593000000.0
AUS,2008,1177313000000.0
AUS,2009,1260145000000.0
AUS,2010,1301211000000.0
AUS,2011,1416622000000.0
AUS,2012,1499458000000.0
AUS,2013,1536307000000.0
AUS,2014,1598530000000.0
AUS,2015,1624601000000.0
AUS,2016,1660714000000.0
AUS,2017,1762371000000.0
AUS,2018,1848560000000.0
AUS,2019,1952680000000.0
AUT,1995,176608750000.0
AUT,1996,182540880000.0
AUT,1997,188723760000.0
AUT,1998,196346610000.0
AUT,1999,203850580000.0
AUT,2000,213606480000.0
AUT,2001,220525080000.0
AUT,2002,226735220000.0
AUT,2003,231862460000.0
AUT,2004,242348260000.0
AUT,2005,254075030000.0
AUT,2006,267824450000.0
AUT,2007,283977970000.0
AUT,2008,293761910000.0
AUT,2009,288044020000.0
AUT,2010,295896640000.0
AUT,2011,310128660000.0
AUT,2012,318653040000.0
AUT,2013,323910200000.0
AUT,2014,333146070000.0
AUT,2015,344269230000.0
AUT,2016,357607950000.0
AUT,2017,369341260000.0
AUT,2018,385361890000.0
AUT,2019,397575280000.0
AZE,1995,2133800000.0
AZE,1996,2732600000.0
AZE,1997,3158300000.0
AZE,1998,3440600000.0
AZE,1999,3775100000.0
AZE,2000,4718100000.0
AZE,2001,5315600000.0
AZE,2002,6062500000.0
AZE,2003,7146500000.0
AZE,2004,8530200000.0
AZE,2005,12522500000.0
AZE,2006,18746200000.0
AZE,2007,28360500000.0
AZE,2008,40137200000.0
AZE,2009,35601500000.0
AZE,2010,42465000000.0
AZE,2011,52082000000.0
AZE,2012,54743700000.0
AZE,2013,58182000000.0
AZE,2014,59014100000.0
AZE,2015,54380000000.0
AZE,2016,60425200000.0
AZE,2017,70337800000.0
AZE,2018,80092000000.0
AZE,2019,81681000000.0
BDI,1995,249864994800.0
BDI,1996,263100000000.0
BDI,1997,342800000000.0
BDI,1998,400200000000.0
BDI,1999,455400000000.0
BDI,2000,627333193100.0
BDI,2001,728046498300.0
BDI,2002,768235261400.0
BDI,2003,849482572100.0
BDI,2004,1007615939900.0
BDI,2005,1208244000000.0
BDI,2006,1309900000000.0
BDI,2007,1467231000000.0
BDI,2008,1911139000000.0
BDI,2009,2191509000000.0
BDI,2010,2501047000000.0
BDI,2011,2819534000000.0
BDI,2012,3365810000000.0
BDI,2013,3812500000000.0
BDI,2014,4184999000000.0
BDI,2015,4879793000000.0
BDI,2016,4897101000000.0
BDI,2017,5485068000000.0
BDI,2018,5414485000000.0
BDI,2019,5559586343900.0
BEL,1995,210489100000.0
BEL,1996,214287100000.0
BEL,1997,224101500000.0
BEL,1998,232623800000.0
BEL,1999,242307600000.0
BEL,2000,256376400000.0
BEL,2001,264334900000.0
BEL,2002,273255900000.0
BEL,2003,281200200000.0
BEL,2004,296819700000.0
BEL,2005,310037600000.0
BEL,2006,325151500000.0
BEL,2007,343618900000.0
BEL,2008,351743100000.0
BEL,2009,346472800000.0
BEL,2010,363140100000.0
BEL,2011,375967800000.0
BEL,2012,386174700000.0
BEL,2013,392880000000.0
BEL,2014,403003300000.0
BEL,2015,416701400000.0
BEL,2016,430085300000.0
BEL,2017,444991100000.0
BEL,2018,460419400000.0
BEL,2019,476203300000.0
BEN,1995,1082965970900.0
BEN,1996,1207834857200.0
BEN,1997,1323938197500.0
BEN,1998,1448386288100.0
BEN,1999,2263338000000.0
BEN,2000,2499926000000.0
BEN,2001,2685133000000.0
BEN,2002,2909671000000.0
BEN,2003,3102021000000.0
BEN,2004,3264365000000.0
BEN,2005,3462851000000.0
BEN,2006,3674800000000.0
BEN,2007,3909982000000.0
BEN,2008,4365330000000.0
BEN,2009,4580012000000.0
BEN,2010,4718034000000.0
BEN,2011,5039213000000.0
BEN,2012,5688291000000.0
BEN,2013,6182559000000.0
BEN,2014,6559333000000.0
BEN,2015,6732814000000.0
BEN,2016,7005230000000.0
BEN,2017,7375302197905.95
BEN,2018,7915660272293.9
BEN,2019,8432247506746.52
BFA,1995,1187732652000.0
BFA,1996,1323156242400.0
BFA,1997,1428629487600.0
BFA,1998,1654757130200.0
BFA,1999,2086187976300.0
BFA,2000,2108160114900.0
BFA,2001,2336620419500.0
BFA,2002,2512872151500.0
BFA,2003,2749159243200.0
BFA,2004,2874882704500.0
BFA,2005,3240716112600.0
BFA,2006,3420539891800.0
BFA,2007,3649928073800.0
BFA,2008,4215340616100.0
BFA,2009,4444600582300.0
BFA,2010,5002181838700.0
BFA,2011,5692822881100.0
BFA,2012,6413105899900.0
BFA,2013,6640134954900.0
BFA,2014,6884466390200.0
BFA,2015,6995311000000.0
BFA,2016,7605123000000.0
BFA,2017,8191299000000.0
BFA,2018,8920421283400.0
BFA,2019,9369187710500.0
BGD,1995,1525177900500.0
BGD,1996,1899334000000.0
BGD,1997,2060032000000.0
BGD,1998,2269299000000.0
BGD,1999,2465089000000.0
BGD,2000,2685034000000.0
BGD,2001,2913370000000.0
BGD,2002,3142804000000.0
BGD,2003,3483202000000.0
BGD,2004,3832940000000.0
BGD,2005,4270741000000.0
BGD,2006,4823369660200.0
BGD,2007,5497997000000.0
BGD,2008,6286822000000.0
BGD,2009,7050718000000.0
BGD,2010,7975387000000.0
BGD,2011,9158288000000.0
BGD,2012,10552040389300.0
BGD,2013,11989231718700.0
BGD,2014,13436744000000.0
BGD,2015,15158023000000.0
BGD,2016,17328639000000.0
BGD,2017,19758152000000.0
BGD,2018,22504793000000.0
BGD,2019,25424826000000.0
BGR,1995,1275678000.0
BGR,1996,2187142000.0
BGR,1997,19032357000.0
BGR,1998,26460036000.0
BGR,1999,25042932000.0
BGR,2000,28124879000.0
BGR,2001,30986688000.0
BGR,2002,34068712000.0
BGR,2003,36637913000.0
BGR,2004,41201300000.0
BGR,2005,47017239000.0
BGR,2006,53608436000.0
BGR,2007,63454890000.0
BGR,2008,72790342000.0
BGR,2009,73181464000.0
BGR,2010,74434109000.0
BGR,2011,80713714000.0
BGR,2012,82238607000.0
BGR,2013,81954850000.0
BGR,2014,83884921000.0
BGR,2015,89362348000.0
BGR,2016,95130590000.0
BGR,2017,102345074000.0
BGR,2018,109743367000.0
BGR,2019,119772250000.0
BHR,1995,2199399900.0
BHR,1996,2294299900.0
BHR,1997,2387300100.0
BHR,1998,2325100000.0
BHR,1999,2489499900.0
BHR,2000,3407650000.0
BHR,2001,3375050000.0
BHR,2002,3607160000.0
BHR,2003,4164130000.0
BHR,2004,4944460000.0
BHR,2005,6004240000.0
BHR,2006,6957790000.0
BHR,2007,8170480000.0
BHR,2008,9667300000.0
BHR,2009,8624770000.0
BHR,2010,9668190000.0
BHR,2011,10820000000.0
BHR,2012,11561740000.0
BHR,2013,12234840000.0
BHR,2014,12553780000.0
